Date,HiTec,Utils,Market,SMB,HML
2009-06-01,4.54,4.62,0.43,2.63,-2.73
2009-07-01,8.11,4.4,7.72,1.87,4.83
2009-08-01,2.26,0.24,3.33,-1.08,7.63
2009-09-01,5.21,2.23,4.08,2.43,1.04
2009-10-01,-1.52,-2.71,-2.59,-4.35,-4.21
2009-11-01,4.85,4.57,5.56,-2.4,-0.34
2009-12-01,5.98,5.85,2.75,6.05,-0.16
2010-01-01,-7.84,-4.44,-3.36,0.4,0.43
2010-02-01,4.81,-0.42,3.4,1.19,3.22
2010-03-01,6.68,3.11,6.31,1.48,2.21
2010-04-01,2.27,2.84,2.0,4.87,2.89
2010-05-01,-7.79,-6.3,-7.89,0.09,-2.44
2010-06-01,-6.18,-0.71,-5.57,-1.81,-4.7
2010-07-01,7.3,6.8,6.93,0.2,-0.31
2010-08-01,-6.54,0.36,-4.77,-3.0,-1.9
2010-09-01,12.55,3.64,9.54,3.96,-3.16
2010-10-01,6.4,1.85,3.88,1.13,-2.42
2010-11-01,-0.75,-1.34,0.6,3.76,-0.96
2010-12-01,5.98,3.21,6.82,0.73,3.69
2011-01-01,3.92,2.19,1.99,-2.5,0.82
2011-02-01,2.41,2.42,3.49,1.53,1.27
2011-03-01,-1.46,0.91,0.46,2.54,-1.83
2011-04-01,3.14,4.0,2.9,-0.38,-2.43
2011-05-01,-1.75,1.32,-1.27,-0.59,-2.12
2011-06-01,-2.46,-0.34,-1.75,-0.12,-0.42
2011-07-01,-0.52,-0.33,-2.35,-1.27,-0.89
2011-08-01,-6.8,0.16,-5.99,-3.05,-2.36
2011-09-01,-4.8,-1.61,-7.59,-3.31,-1.73
2011-10-01,11.8,6.7,11.35,3.28,0.11
2011-11-01,-2.0,1.0,-0.28,-0.16,-0.45
2011-12-01,-1.42,2.93,0.74,-0.59,1.63
2012-01-01,8.49,-2.71,5.05,2.04,-0.97
2012-02-01,6.64,1.31,4.42,-1.85,0.43
2012-03-01,4.66,1.48,3.11,-0.64,1.14
2012-04-01,-2.11,1.73,-0.85,-0.42,-0.78
2012-05-01,-7.86,-0.92,-6.19,0.07,-1.07
2012-06-01,2.91,3.4,3.89,0.67,0.62
2012-07-01,-0.11,3.62,0.79,-2.75,-0.02
2012-08-01,4.79,-3.45,2.55,0.47,1.3
2012-09-01,1.23,2.1,2.73,0.51,1.6
2012-10-01,-6.35,1.08,-1.76,-1.15,3.59
2012-11-01,1.45,-3.77,0.78,0.63,-0.84
2012-12-01,0.35,0.07,1.18,1.48,3.51
2013-01-01,2.38,5.05,5.57,0.34,0.96
2013-02-01,0.67,2.2,1.29,-0.27,0.11
2013-03-01,2.72,5.68,4.03,0.81,-0.19
2013-04-01,0.4,5.13,1.55,-2.37,0.45
2013-05-01,4.55,-7.11,2.8,1.71,2.63
2013-06-01,-2.92,0.82,-1.2,1.33,0.03
2013-07-01,5.7,4.58,5.65,1.87,0.57
2013-08-01,-0.2,-4.42,-2.71,0.27,-2.69
2013-09-01,3.83,1.04,3.77,2.87,-1.22
2013-10-01,3.8,3.34,4.18,-1.52,1.25
2013-11-01,3.58,-1.8,3.13,1.29,0.32
2013-12-01,3.99,1.79,2.81,-0.47,-0.02
2014-01-01,-1.39,2.49,-3.32,0.89,-2.07
2014-02-01,5.14,3.08,4.65,0.34,-0.31
2014-03-01,-0.62,2.68,0.43,-1.81,4.93
2014-04-01,-1.05,3.98,-0.19,-4.18,1.17
2014-05-01,3.39,0.0,2.06,-1.88,-0.13
2014-06-01,2.88,5.41,2.61,3.09,-0.7
2014-07-01,0.16,-6.4,-2.04,-4.3,0.04
2014-08-01,4.22,5.31,4.24,0.4,-0.45
2014-09-01,-1.4,-3.37,-1.97,-3.7,-1.35
2014-10-01,1.61,6.71,2.52,4.2,-1.8
2014-11-01,4.29,0.26,2.55,-2.06,-3.1
2014-12-01,-1.25,1.86,-0.06,2.49,2.27
2015-01-01,-3.46,1.24,-3.11,-0.56,-3.59
2015-02-01,8.23,-4.35,6.13,0.63,-1.86
2015-03-01,-2.5,-0.32,-1.12,3.04,-0.38
2015-04-01,1.45,0.28,0.59,-3.06,1.82
2015-05-01,1.94,-0.46,1.36,0.94,-1.15
2015-06-01,-3.61,-5.29,-1.53,2.91,-0.79
2015-07-01,2.21,2.65,1.54,-4.17,-4.13
2015-08-01,-5.83,-4.06,-6.04,0.33,2.77
2015-09-01,-1.32,-0.5,-3.07,-2.62,0.56
2015-10-01,10.12,2.09,7.75,-1.89,-0.46
2015-11-01,1.16,-3.44,0.57,3.59,-0.42
2015-12-01,-2.56,-2.37,-2.17,-2.85,-2.61
2016-01-01,-5.97,4.66,-5.77,-3.42,2.09
2016-02-01,-0.92,1.73,-0.07,0.74,-0.57
2016-03-01,8.46,7.84,6.96,0.82,1.19
2016-04-01,-4.21,-0.81,0.91,0.76,3.28
2016-05-01,5.14,2.23,1.78,-0.17,-1.66
2016-06-01,-1.75,7.4,-0.05,0.61,-1.48
2016-07-01,7.51,-0.28,3.95,2.49,-1.32
2016-08-01,1.79,-3.79,0.49,1.16,3.18
2016-09-01,2.21,1.81,0.25,2.12,-1.24
2016-10-01,-1.1,-0.69,-2.02,-4.4,4.09
2016-11-01,0.7,-2.65,4.86,5.71,8.21
2016-12-01,0.89,3.58,1.82,0.1,3.53
2017-01-01,4.56,1.03,1.94,-1.18,-2.75
2017-02-01,4.83,3.94,3.57,-2.05,-1.67
2017-03-01,2.08,0.34,0.17,1.14,-3.35
2017-04-01,2.5,0.28,1.09,0.73,-2.13
2017-05-01,4.12,2.37,1.06,-2.57,-3.78
2017-06-01,-2.18,-1.97,0.78,2.25,1.48
2017-07-01,3.54,2.92,1.87,-1.5,-0.31
2017-08-01,2.91,2.08,0.16,-1.67,-2.1
2017-09-01,0.51,-2.04,2.51,4.47,3.12
2017-10-01,6.82,2.93,2.25,-1.94,0.19
2017-11-01,0.98,2.34,3.12,-0.54,-0.03
2017-12-01,-0.27,-5.07,1.06,-1.32,0.06
2018-01-01,7.62,-2.93,5.57,-3.12,-1.28
2018-02-01,-0.13,-4.65,-3.65,0.26,-1.04
2018-03-01,-3.24,3.06,-2.35,4.06,-0.2
2018-04-01,-0.29,2.64,0.29,1.13,0.54
2018-05-01,6.66,0.08,2.65,5.26,-3.22
2018-06-01,-0.54,2.47,0.48,1.14,-2.33
2018-07-01,2.4,1.53,3.19,-2.22,0.45
2018-08-01,6.99,0.77,3.44,1.15,-4.0
2018-09-01,-0.2,-0.71,0.06,-2.29,-1.71
2018-10-01,-9.01,-0.26,-7.68,-4.74,3.4
2018-11-01,-1.77,3.1,1.69,-0.68,0.28
2018-12-01,-8.44,-4.96,-9.57,-2.37,-1.88
2019-01-01,9.09,5.21,8.4,2.88,-0.45
2019-02-01,5.49,3.38,3.4,2.06,-2.71
2019-03-01,3.57,3.14,1.1,-3.05,-4.12
2019-04-01,5.6,0.79,3.97,-1.72,2.16
2019-05-01,-8.75,-1.76,-6.94,-1.31,-2.37
2019-06-01,7.91,3.46,6.93,0.28,-0.7
2019-07-01,3.4,-1.2,1.19,-1.93,0.47
2019-08-01,-2.75,3.28,-2.58,-2.39,-4.79
2019-09-01,1.11,3.75,1.43,-0.97,6.77
2019-10-01,3.12,-1.55,2.06,0.29,-1.9
2019-11-01,5.15,-2.26,3.88,0.78,-1.99
2019-12-01,3.7,3.97,2.77,0.73,1.78
2020-01-01,3.24,4.7,-0.11,-3.13,-6.25
2020-02-01,-7.1,-9.97,-8.13,1.07,-3.8
2020-03-01,-9.95,-13.07,-13.39,-4.79,-13.88
2020-04-01,15.06,5.08,13.65,2.45,-1.34
2020-05-01,7.62,4.59,5.58,2.49,-4.85
2020-06-01,5.72,-5.01,2.46,2.69,-2.23
2020-07-01,6.86,6.34,5.77,-2.3,-1.44
2020-08-01,10.6,-2.25,7.63,-0.28,-2.88
2020-09-01,-5.25,-0.33,-3.63,-0.03,-2.65
2020-10-01,-1.79,4.46,-2.1,4.27,4.31
2020-11-01,10.71,2.67,12.47,5.72,2.15
2020-12-01,5.07,0.62,4.63,4.79,-1.34
2021-01-01,0.55,-0.45,-0.03,7.5,2.85
2021-02-01,1.36,-4.57,2.78,2.07,7.1
2021-03-01,0.87,10.37,3.08,-2.28,7.27
2021-04-01,6.43,3.97,4.93,-3.2,-0.95
2021-05-01,-0.88,-1.16,0.29,-0.27,7.13
2021-06-01,6.77,-1.41,2.75,1.6,-7.75
2021-07-01,3.61,2.97,1.27,-3.94,-1.81
2021-08-01,4.65,3.23,2.91,-0.46,-0.1
2021-09-01,-6.14,-4.86,-4.37,0.67,5.1
2021-10-01,8.15,5.11,6.65,-2.37,-0.45
2021-11-01,1.44,-1.96,-1.55,-1.32,-0.41
2021-12-01,1.66,8.54,3.1,-1.64,3.22
2022-01-01,-8.43,-2.1,-6.25,-5.96,12.8
2022-02-01,-4.54,-1.1,-2.29,2.19,3.1
2022-03-01,3.27,9.66,3.06,-1.66,-1.76
2022-04-01,-12.6,-3.72,-9.46,-1.38,6.17
2022-05-01,-2.13,4.76,-0.34,-1.96,8.59
2022-06-01,-8.21,-6.6,-8.44,2.18,-6.1
2022-07-01,11.6,6.22,9.57,2.8,-4.03
2022-08-01,-5.56,-0.04,-3.77,1.4,0.29
2022-09-01,-11.63,-11.81,-9.35,-0.82,0.02
2022-10-01,4.78,3.28,7.83,0.07,8.06
2022-11-01,5.07,6.49,4.61,-3.51,1.41
2022-12-01,-8.29,-1.54,-6.41,-0.69,1.34
2023-01-01,9.24,-1.59,6.64,5.01,-4.0
2023-02-01,-0.54,-5.66,-2.59,1.17,-0.83
2023-03-01,10.1,3.53,2.51,-5.51,-8.87
2023-04-01,-0.11,1.37,0.61,-3.36,-0.05
2023-05-01,8.19,-6.18,0.35,1.6,-7.74
2023-06-01,5.51,2.21,6.47,1.55,-0.2
2023-07-01,3.78,2.34,3.21,2.05,4.11
2023-08-01,-2.1,-5.74,-2.39,-3.2,-1.08
2023-09-01,-6.45,-5.47,-5.24,-2.49,1.45
2023-10-01,-2.13,0.65,-3.18,-3.88,0.19
2023-11-01,11.52,4.64,8.83,-0.03,1.66
2023-12-01,4.2,1.26,4.87,6.36,4.92
2024-01-01,2.63,-3.47,0.7,-5.02,-2.47
2024-02-01,5.8,2.01,5.07,-0.22,-3.52
2024-03-01,1.93,6.6,2.83,-2.51,4.22
2024-04-01,-4.88,1.1,-4.67,-2.39,-0.52
2024-05-01,7.65,7.57,4.34,0.78,-1.67
2024-06-01,7.16,-4.64,2.77,-3.06,-3.31
2024-07-01,-2.19,5.91,1.24,6.8,5.74
2024-08-01,0.87,4.07,1.61,-3.55,-1.13
2024-09-01,2.56,4.95,1.74,-0.17,-2.59
2024-10-01,-0.6,0.32,-0.97,-1.01,0.89
2024-11-01,4.55,5.78,6.51,4.63,-0.05
2024-12-01,1.06,-8.2,-3.17,-2.73,-2.95
